# MPA Run	Telescope Run	Angle (°)	Bias Volt (V)	Bias Cur (μA)	Threshold	MPA Trigger	Telescope  Trigger	Comments	Converted	Data Offset	Correlation	Comments	
188	636	45	130	8.9	90			Maybe move assembly by 2mm to get at least 2 rows on MPA5					
189	638	45	130	10	110		70000	Assembly moved by 2mm (downwards) but Benedikt also moved Ref by 0.3 (downwards) -.-					
190	639	45	130	9.5	110								
191	640	45	130	9.6	110								
192	641	45	130	9.6	110								
195	644	45	130	9.6	90								
196	645	45	130	9.7	90								
197	647	60	130	9.5	90		50000	Alignement run,  MPA5 fully in Beam,  no Hits on MPA2 -> ~5mm upwards	Yes	-1			
198	648	60	130	9.1	90				Yes	-1			
199	650	60	130	9.2	90		50000	Moved Assembly approx. 4mm upwards	 Alignment run	0	Yes	0	Yes
200	651	60	130	8.9	90								
201	652	60	130	9.1	90								
202	653	60	130	11.9	90			No beam after trigger 149342 Triggers					
203	654	60	130	11	90								
204	655	60	130	12	90								
205	657	60	130	12	110								
206	660	60	130	11	110								
207	661	60	130	11	110								
208	662	60	130	11	110								
209	663	60	130	11	110								
210	664	60	130	11	110								
211	665	60	130	11	110								
212	666	60	130	11	110								
213	667	60	130	11	110								
214	668	60	130	11	110								
215	669	60	130	11	110								
216	670	60	130	11	110			run stopped due to machine dev. (160 kTriggers)					
217	701	90	130	12.8	110			empty					
218	702	90	130	14.5	90			empty					
219	703	90	130	14.9	90			empty					
220	704	90	130	13.1	90			empty					
221	706	0	130	13.3	90			empty					
224	709	0	130	13.3	60			Better Check					
225	712	0	130		60			Better Check					
226	713	0	130		60			Better Check					
227	714	0	130		60			Better Check					
228	716	0	130		60			Better Check					
229	717	0	130		100		100000	Alignment run -> Way out of beam					
230	718	0	130		100			Alignment run		1			
231	719	0	130		100		50000	Alignment run	Yes	0	Yes		
232	720	0	130		100		50000	Alignment run (misalignment in x)	Yes	0	Yes		
235	725	0	130		100			Alignment run ohne DUT -> good to go					
236	726	0	130		100		300000	Run without DUT					
237	747	0	130		100								
238	748	0	130		100								
239	749	0	130		100								
240	750	0	130		100								
241	751	0	130		100								
242	752	0	130		100								
243	753	0	130		100								
244	754	0	130		100								
245	755	0	130		100								
246	756	0	130		100								
247	757	0	130		100								
248	758	0	130		100								
249	759	0	130		100								
250	760	0	130	15.7	100								
251	761	0	130		130								
252	762	0	130		130								
253	763	0	130		130								
254	764	0	130	14.4	130								
255	765	0	130	13.7	130								
256	766	0	130	13.8	130			RunControl crashed					
258	768	0	130		130								
259	769	0	130		130								
													
262	788	0	130		150			Run without DUT					
264	805	0	130		150				Yes	1			
265	806	0	130		150								
266	807	0	130		150								
267	808	0	130		150								
268	809	0	130		150								
	826				180			RunControl crashed					
													
													
280								no Triggers					
